formula,Property Lattice parameter (a),Property Lattice parameter (a) units,Property Cell angle ($\gamma$),Property Cell angle ($\gamma$) units,Property Melting point,Property Melting point units,Property Crystal system,Property Lattice parameter (c),Property Lattice parameter (c) units,Property Cell angle ($\alpha$),Property Cell angle ($\alpha$) units,Property Lattice parameter (b),Property Lattice parameter (b) units,Property Cell angle ($\beta$),Property Cell angle ($\beta$) units,Property Space group number
Nb$_{1.15}$O$_{5}$Rb$_{0.85}$Ti$_{0.85}$,6.499,$\AA$,90,°,,,orthorhombic,19.36,$\AA$,90,°,3.812,$\AA$,90,°,62
NbO$_{5}$TiTl,6.456,$\AA$,90,°,,,orthorhombic,18.844,$\AA$,90,°,3.806,$\AA$,90,°,62
Nb$_{1.1}$O$_{5}$Ti$_{0.9}$Tl$_{0.9}$,6.457,$\AA$,90,°,,,orthorhombic,18.919,$\AA$,90,°,3.799,$\AA$,90,°,62
KO$_{5}$TaTi,6.437,$\AA$,90,°,,,orthorhombic,18.474,$\AA$,90,°,3.797,$\AA$,90,°,62
O$_{5}$RbTaTi,6.451,$\AA$,90,°,,,orthorhombic,19.,$\AA$,90,°,3.812,$\AA$,90,°,62
H$_{6}$Nb$_{6}$O$_{20}$Rb$_{4}$,7.83(1),$\AA$,90,°,,,orthorhombic,6.57(1),$\AA$,90,°,39.06(5),$\AA$,90,°,62
BiFeO$_{3}$,5.5876(3),$\AA$,120,°,,,trigonal,13.867(1),$\AA$,90,°,5.5876(3),$\AA$,90,°,161
CrO$_{6}$Ta$_{2}$,4.745,$\AA$,90,°,,,tetragonal,9.305,$\AA$,90,°,4.745,$\AA$,90,°,136
H$_{2}$O$_{7}$Pb$_{2}$Sn$_{2}$,10.7186(10),$\AA$,90,°,,,cubic,10.7186(10),$\AA$,90,°,10.7186(10),$\AA$,90,°,227
O$_{6}$Pb$_{2}$Sn$_{2}$,10.7186(10),$\AA$,90,°,,,cubic,10.7186(10),$\AA$,90,°,10.7186(10),$\AA$,90,°,227
Ba$_{2}$FeO$_{6}$U,8.361(2),$\AA$,90,°,,,cubic,8.361(2),$\AA$,90,°,8.361(2),$\AA$,90,°,225
Ba$_{2}$CrO$_{6}$U,8.301(2),$\AA$,90,°,,,cubic,8.301(2),$\AA$,90,°,8.301(2),$\AA$,90,°,205
O$_{8}$ReY$_{3}$,14.391(10),$\AA$,112.08(5),$^\circ$,,,monoclinic,6.045(5),$\AA$,90,°,7.196(5),$\AA$,90,°,14
Ba$_{2.4}$Cu$_{1.8}$La$_{3.6}$O$_{9.6}$,6.862(1),$\AA$,90,°,,,tetragonal,5.871(1),$\AA$,90,°,6.862(1),$\AA$,90,°,127
Li$_{1.333}$O$_{4}$Ti$_{1.667}$,8.357,$\AA$,90,°,,,cubic,8.357,$\AA$,90,°,8.357,$\AA$,90,°,227
Li$_{1.2}$O$_{4}$Ti$_{1.8}$,8.359,$\AA$,90,°,,,cubic,8.359,$\AA$,90,°,8.359,$\AA$,90,°,227
LiO$_{4}$Ti$_{2}$,8.391,$\AA$,90,°,,,cubic,8.391,$\AA$,90,°,8.391,$\AA$,90,°,227
Li$_{1.1}$O$_{4}$Ti$_{1.9}$,8.378,$\AA$,90,°,,,cubic,8.378,$\AA$,90,°,8.378,$\AA$,90,°,227
Ba$_{3}$O$_{26}$Si$_{4}$Ta$_{6}$,9.001,$\AA$,120,°,,,hexagonal,7.734,$\AA$,90,°,9.001,$\AA$,90,°,189
O$_{26}$Si$_{4}$Sr$_{3}$Ta$_{6}$,8.913,$\AA$,120,°,,,hexagonal,7.633,$\AA$,90,°,8.913,$\AA$,90,°,
K$_{6}$O$_{26}$Si$_{4}$Ta$_{6}$,9.066,$\AA$,120,°,,,hexagonal,7.873,$\AA$,90,°,9.066,$\AA$,90,°,189
K$_{6}$Nb$_{6}$O$_{26}$Si$_{4}$,9.032,$\AA$,120,°,,,hexagonal,8.041,$\AA$,90,°,9.032,$\AA$,90,°,189
K$_{3}$NbO$_{14}$Ti$_{5}$,18.371(6),$\AA$,90,°,,,monoclinic,9.199(3),$\AA$,90,°,3.794(1),$\AA$,101.21(4),$^\circ$,12
K$_{3}$O$_{14}$TaTi$_{5}$,18.363(2),$\AA$,90,°,,,monoclinic,9.174(1),$\AA$,90,°,3.791(1),$\AA$,101.28(1),$^\circ$,12
NbO$_{14}$Rb$_{3}$Ti$_{5}$,19.073(7),$\AA$,90,°,,,monoclinic,9.223(4),$\AA$,90,°,3.814(1),$\AA$,100.93(4),$^\circ$,12
ClCuHgSe,6.9444(9),$\AA$,90,°,,,orthorhombic,4.2526(5),$\AA$,90,°,12.7561(19),$\AA$,90,°,55
CaCl$_{2}$H$_{8}$O$_{4}$,6.1387(9),$\AA$,90,°,,,monoclinic,8.9014(37),$\AA$,90,°,7.6669(12),$\AA$,111.00(3),$^\circ$,14
K$_{2}$O$_{9}$Si$_{3}$Ti,6.774,$\AA$,120,°,,,hexagonal,9.922,$\AA$,90,°,6.774,$\AA$,90,°,176
O$_{9}$Rb$_{2}$Si$_{3}$Ti,6.896,$\AA$,120,°,,,hexagonal,9.943,$\AA$,90,°,6.896,$\AA$,90,°,176
K$_{2}$O$_{9}$Si$_{3}$Sn,6.86,$\AA$,120,°,,,hexagonal,10.12,$\AA$,90,°,6.86,$\AA$,90,°,176
O$_{9}$Rb$_{2}$Si$_{3}$Sn,6.943,$\AA$,120,°,,,hexagonal,10.04,$\AA$,90,°,6.943,$\AA$,90,°,176
Ge$_{3}$O$_{9}$TiTl$_{2}$,6.99,$\AA$,120,°,,,hexagonal,10.267,$\AA$,90,°,6.99,$\AA$,90,°,176
Cs$_{2}$Ge$_{3}$O$_{9}$Ti,7.191,$\AA$,120,°,,,hexagonal,10.36,$\AA$,90,°,7.191,$\AA$,90,°,176
Cs$_{2}$Ge$_{3}$O$_{9}$Sn,7.288,$\AA$,120,°,,,hexagonal,10.472,$\AA$,90,°,7.288,$\AA$,90,°,176
Ge$_{3}$K$_{2}$O$_{9}$Ti,11.916,$\AA$,120,°,,,trigonal,10.018,$\AA$,90,°,11.916,$\AA$,90,°,165
Ge$_{3}$O$_{9}$Rb$_{2}$Ti,12.195,$\AA$,120,°,,,trigonal,10.148,$\AA$,90,°,12.195,$\AA$,90,°,165
Ge$_{3}$K$_{2}$O$_{9}$Sn,12.082,$\AA$,120,°,,,trigonal,10.181,$\AA$,90,°,12.082,$\AA$,90,°,165
Ge$_{3}$O$_{9}$Rb$_{2}$Sn,12.305,$\AA$,120,°,,,trigonal,10.205,$\AA$,90,°,12.305,$\AA$,90,°,165
Ge$_{3}$O$_{9}$SnTl$_{2}$,12.351,$\AA$,120,°,,,trigonal,10.134,$\AA$,90,°,12.351,$\AA$,90,°,165
O$_{3}$Ta$_{0.18}$W$_{0.82}$Y$_{0.06}$,5.298,$\AA$,90,°,,,orthorhombic,3.774,$\AA$,90,°,5.377,$\AA$,90,°,65
O$_{3}$Ta$_{0.72}$W$_{0.28}$Y$_{0.24}$,3.833,$\AA$,90,°,,,cubic,3.833,$\AA$,90,°,3.833,$\AA$,90,°,221
O$_{3}$Ta$_{0.9}$W$_{0.1}$Y$_{0.3}$,3.833,$\AA$,90,°,,,tetragonal,7.727,$\AA$,90,°,3.833,$\AA$,90,°,123
Bi$_{1.5}$O$_{7}$Ta$_{1.5}$Zn,10.54,$\AA$,90,°,,,cubic,10.54,$\AA$,90,°,10.54,$\AA$,90,°,227
ClNaO$_{3}$,8.78(5),$\AA$,90,°,,,monoclinic,6.88(5),$\AA$,90,°,5.17(5),$\AA$,110.(1),$^\circ$,14
Ba$_{2}$MnO$_{6}$U,8.469(3),$\AA$,90,°,,,cubic,8.469(3),$\AA$,90,°,8.469(3),$\AA$,90,°,225
K$_{0.8}$Mg$_{0.4}$O$_{4}$Ti$_{1.6}$,3.8207(5),$\AA$,90,°,,,orthorhombic,2.9814(5),$\AA$,90,°,15.641(5),$\AA$,90,°,36
K$_{0.8}$O$_{4}$Ti$_{1.6}$Zn$_{0.4}$,3.8064(5),$\AA$,90,°,,,orthorhombic,2.9850(5),$\AA$,90,°,15.692(5),$\AA$,90,°,36
CsNbO$_{7}$Ti$_{2}$,9.326,$\AA$,90,°,,,orthorhombic,3.798,$\AA$,90,°,18.412,$\AA$,90,°,62
Ba$_{2}$MgO$_{6}$U,8.379,$\AA$,90,°,,,cubic,8.379,$\AA$,90,°,8.379,$\AA$,90,°,225
Ba$_{2}$Fe$_{1.333}$O$_{6}$U$_{0.667}$,8.25,$\AA$,90,°,,,cubic,8.25,$\AA$,90,°,8.25,$\AA$,90,°,205
Ba$_{2}$Fe$_{0.667}$Mg$_{0.5}$O$_{6}$U$_{0.833}$,8.328,$\AA$,90,°,,,cubic,8.328,$\AA$,90,°,8.328,$\AA$,90,°,205
Cd$_{4}$I$_{3}$P$_{2}$,12.890(2),$\AA$,90,°,,,orthorhombic,12.654(3),$\AA$,90,°,12.725(2),$\AA$,90,°,61
Cu$_{2}$K$_{2}$Mg$_{3}$O$_{30}$Si$_{12}$,10.169,$\AA$,120,°,,,hexagonal,14.182,$\AA$,90,°,10.169,$\AA$,90,°,192
K$_{2}$Mg$_{3}$O$_{30}$Si$_{12}$Zn$_{2}$,10.199,$\AA$,120,°,,,hexagonal,14.145,$\AA$,90,°,10.199,$\AA$,90,°,192
Mg$_{5}$Na$_{2}$O$_{30}$Si$_{12}$,10.151,$\AA$,120,°,,,hexagonal,14.288,$\AA$,90,°,10.151,$\AA$,90,°,192
Cu$_{2}$Mg$_{3}$Na$_{2}$O$_{30}$Si$_{12}$,10.096,$\AA$,120,°,,,hexagonal,14.25,$\AA$,90,°,10.096,$\AA$,90,°,192
Mg$_{5}$NaO$_{30}$RbSi$_{12}$,10.135,$\AA$,120,°,,,hexagonal,14.376,$\AA$,90,°,10.135,$\AA$,90,°,192
K$_{3}$LiMg$_{4}$O$_{30}$Si$_{12}$,10.253,$\AA$,120,°,,,hexagonal,14.04,$\AA$,90,°,10.253,$\AA$,90,°,192
LiMg$_{4}$Na$_{3}$O$_{30}$Si$_{12}$,10.155,$\AA$,120,°,,,hexagonal,14.158,$\AA$,90,°,10.155,$\AA$,90,°,192
Nb$_{2}$O$_{10}$TiU,7.28,$\AA$,90,°,,,orthorhombic,16.02,$\AA$,90,°,12.62,$\AA$,90,°,70
Fe$_{3}$Ge,5.169,$\AA$,120,°,,,hexagonal,4.222,$\AA$,90,°,5.169,$\AA$,90,°,194
Cd$_{1.333}$O$_{4}$Sn$_{1.333}$,9.151(3),$\AA$,90,°,,,cubic,9.151(3),$\AA$,90,°,9.151(3),$\AA$,90,°,227
H$_{1.4}$O$_{6.7}$Pb$_{2}$Sn$_{2}$,10.7186(10),$\AA$,90,°,,,cubic,10.7186(10),$\AA$,90,°,10.7186(10),$\AA$,90,°,227
AgH$_{2}$O$_{7}$TaW,10.402(5),$\AA$,90,°,,,cubic,10.402(5),$\AA$,90,°,10.402(5),$\AA$,90,°,227
AgH$_{2}$NbO$_{7}$W,10.416(5),$\AA$,90,°,,,cubic,10.416(5),$\AA$,90,°,10.416(5),$\AA$,90,°,227
O$_{6}$Ta$_{1.5}$Tl$_{1.5}$W$_{0.5}$,10.523,$\AA$,90,°,,,cubic,10.523,$\AA$,90,°,10.523,$\AA$,90,°,227
O$_{5}$UV,12.31,$\AA$,90,°,,,orthorhombic,4.115,$\AA$,90,°,7.19,$\AA$,90,°,57
O$_{6}$Ta$_{2}$V,4.667,$\AA$,90,°,,,tetragonal,9.129,$\AA$,90,°,4.667,$\AA$,90,°,136
O$_{4}$VZn$_{2}$,8.395,$\AA$,90,°,,,cubic,8.395,$\AA$,90,°,8.395,$\AA$,90,°,227
Co$_{2}$O$_{4}$V,8.382,$\AA$,90,°,,,cubic,8.382,$\AA$,90,°,8.382,$\AA$,90,°,227
Mn$_{2}$O$_{4}$V,8.575,$\AA$,90,°,,,cubic,8.575,$\AA$,90,°,8.575,$\AA$,90,°,227
CoLiO$_{4}$V,8.276,$\AA$,90,°,,,cubic,8.276,$\AA$,90,°,8.276,$\AA$,90,°,227
LiNiO$_{4}$V,8.215,$\AA$,90,°,,,cubic,8.215,$\AA$,90,°,8.215,$\AA$,90,°,227
Cu$_{2}$Eu$_{1.3}$O$_{5.65}$Sr$_{1.7}$,3.744,$\AA$,90,°,,,orthorhombic,20.047,$\AA$,90,°,11.337,$\AA$,90,°,71
O$_{52}$P$_{8}$W$_{12}$,11.9866(11),$\AA$,90,°,,,orthorhombic,5.3197(13),$\AA$,90,°,15.5500(15),$\AA$,90,°,62
HNS$_{7}$,8.440(3),$\AA$,90,°,,,monoclinic,8.203(3),$\AA$,90,°,13.034(4),$\AA$,112.49(2),$^\circ$,13
Ba$_{5.5}$O$_{60}$Ta$_{21.8}$,17.60(5),$\AA$,90,°,,,tetragonal,3.905,$\AA$,90,°,17.60(5),$\AA$,90,°,75
AsCd$_{2}$Cl$_{2}$,7.858(4),$\AA$,90,°,,,monoclinic,8.189(5),$\AA$,90,°,9.193(9),$\AA$,119.95(8),$^\circ$,14
BiO$_{10}$TaW$_{2}$,7.42,$\AA$,120,°,,,hexagonal,3.881,$\AA$,90,°,7.42,$\AA$,90,°,189
H$_{3}$O$_{7}$TaW,10.39,$\AA$,90,°,,,cubic,10.39,$\AA$,90,°,10.39,$\AA$,90,°,227
H$_{3.4}$O$_{7}$Ta$_{1.4}$W$_{0.6}$,10.485,$\AA$,90,°,,,cubic,10.485,$\AA$,90,°,10.485,$\AA$,90,°,227
H$_{3.8}$O$_{7}$Ta$_{1.8}$W$_{0.2}$,10.55,$\AA$,90,°,,,cubic,10.55,$\AA$,90,°,10.55,$\AA$,90,°,227
H$_{4}$O$_{7}$Ta$_{2}$,10.58,$\AA$,90,°,,,cubic,10.58,$\AA$,90,°,10.58,$\AA$,90,°,227
H$_{4}$NO$_{6}$TaW,10.358(5),$\AA$,90,°,,,cubic,10.358(5),$\AA$,90,°,10.358(5),$\AA$,90,°,227
Nb$_{1.33}$O$_{6.66}$Pb$_{2}$Ti$_{0.66}$,10.52,$\AA$,90,°,,,cubic,10.52,$\AA$,90,°,10.52,$\AA$,90,°,227
Cd$_{2}$Cl$_{6}$H$_{24}$NiO$_{12}$,24.4219(21),$\AA$,90,°,,,orthorhombic,7.5416(13),$\AA$,90,°,22.3429(22),$\AA$,90,°,43
Cd$_{4}$Cl$_{10}$H$_{20}$NiO$_{10}$,6.634(2),$\AA$,90,°,,,monoclinic,16.080(4),$\AA$,90,°,12.008(1),$\AA$,108.68(2),$^\circ$,14
Cs$_{2}$Nb$_{4}$O$_{11}$,10.484(2),$\AA$,90,°,,,orthorhombic,7.464(2),$\AA$,90,°,28.898(4),$\AA$,90,°,34
Ba$_{3}$Cu$_{6}$La$_{3}$O$_{14}$,5.5253(4),$\AA$,90,°,,,tetragonal,11.721(1),$\AA$,90,°,5.5253(4),$\AA$,90,°,123
O$_{22}$P$_{2}$Rb$_{0.45}$W$_{6}$,13.991(3),$\AA$,90,°,,,monoclinic,8.561(1),$\AA$,90,°,3.7650(5),$\AA$,114.22(1),$^\circ$,10
Nb$_{3}$O$_{10}$U,7.38,$\AA$,90,°,,,orthorhombic,15.96,$\AA$,90,°,12.78,$\AA$,90,°,70
Ba$_{3}$Fe$_{2}$O$_{9}$W,5.770(2),$\AA$,120,°,,,hexagonal,14.140(15),$\AA$,90,°,5.770(2),$\AA$,90,°,194
La$_{2.4}$Mo$_{1.6}$O$_{8}$,5.61(1),$\AA$,90,°,,,cubic,5.61(1),$\AA$,90,°,5.61(1),$\AA$,90,°,225
Ca$_{2}$O$_{7}$Ta$_{2}$,10.37,$\AA$,90,°,,,cubic,10.37,$\AA$,90,°,10.37,$\AA$,90,°,227
Cd$_{2}$Nb$_{2}$O$_{7}$,10.37,$\AA$,90,°,,,cubic,10.37,$\AA$,90,°,10.37,$\AA$,90,°,227
Cd$_{2}$O$_{7}$Ta$_{2}$,10.38,$\AA$,90,°,,,cubic,10.38,$\AA$,90,°,10.38,$\AA$,90,°,227
In$_{6}$O$_{12}$W,6.2277(9),$\AA$,99.01(1),$^\circ$,,,trigonal,6.2277(9),$\AA$,99.01(1),$^\circ$,6.2277(9),$\AA$,99.01(1),$^\circ$,148
Ba$_{2}$La$_{4}$O$_{10}$Zn$_{2}$,6.914(1),$\AA$,90,°,,,tetragonal,11.594(7),$\AA$,90,°,6.914(1),$\AA$,90,°,140
Ba$_{2}$Nd$_{4}$O$_{10}$Zn$_{2}$,6.756(1),$\AA$,90,°,,,tetragonal,11.540(5),$\AA$,90,°,6.756(1),$\AA$,90,°,140
Na$_{0.82}$Nb$_{2}$O$_{6.76}$U$_{0.45}$,10.4,$\AA$,90,°,,,cubic,10.4,$\AA$,90,°,10.4,$\AA$,90,°,227
Ca$_{0.5}$O$_{3}$Ta,3.875(5),$\AA$,90,°,,,cubic,3.875(5),$\AA$,90,°,3.875(5),$\AA$,90,°,221
O$_{3}$Sn$_{0.25}$Ta,3.88,$\AA$,90,°,,,cubic,3.88,$\AA$,90,°,3.88,$\AA$,90,°,221
Ca$_{0.91}$O$_{3}$Ta$_{0.84}$,3.96,$\AA$,90,°,,,cubic,3.96,$\AA$,90,°,3.96,$\AA$,90,°,221
O$_{4}$SnZn$_{2}$,8.65(1),$\AA$,90,°,,,cubic,8.65(1),$\AA$,90,°,8.65(1),$\AA$,90,°,227
Cd$_{0.2}$O$_{4}$SnZn$_{1.8}$,8.71(1),$\AA$,90,°,,,cubic,8.71(1),$\AA$,90,°,8.71(1),$\AA$,90,°,227
Cd$_{0.4}$O$_{4}$SnZn$_{1.6}$,8.76(1),$\AA$,90,°,,,cubic,8.76(1),$\AA$,90,°,8.76(1),$\AA$,90,°,227
Cd$_{0.6}$O$_{4}$SnZn$_{1.4}$,8.82(1),$\AA$,90,°,,,cubic,8.82(1),$\AA$,90,°,8.82(1),$\AA$,90,°,227
Cd$_{0.8}$O$_{4}$SnZn$_{1.2}$,8.88(1),$\AA$,90,°,,,cubic,8.88(1),$\AA$,90,°,8.88(1),$\AA$,90,°,227
CdO$_{4}$SnZn,8.94(1),$\AA$,90,°,,,cubic,8.94(1),$\AA$,90,°,8.94(1),$\AA$,90,°,227
Cd$_{1.2}$O$_{4}$SnZn$_{0.8}$,8.98(1),$\AA$,90,°,,,cubic,8.98(1),$\AA$,90,°,8.98(1),$\AA$,90,°,227
Cd$_{1.5}$O$_{4}$SnZn$_{0.5}$,9.03(1),$\AA$,90,°,,,cubic,9.03(1),$\AA$,90,°,9.03(1),$\AA$,90,°,227
Cd$_{1.6}$O$_{4}$SnZn$_{0.4}$,9.05(1),$\AA$,90,°,,,cubic,9.05(1),$\AA$,90,°,9.05(1),$\AA$,90,°,227
GeO$_{8}$Zr$_{3}$,5.005(1),$\AA$,90,°,,,tetragonal,10.452(2),$\AA$,90,°,5.005(1),$\AA$,90,°,121
CuKO$_{9}$Ta$_{3}$,8.862(8),$\AA$,90,°,,,orthorhombic,7.638(6),$\AA$,90,°,10.187(10),$\AA$,90,°,30
O$_{108}$Rb$_{21.79}$W$_{32.74}$,15.966,$\AA$,90,°,,,tetragonal,10.099,$\AA$,90,°,15.966,$\AA$,90,°,82
H$_{1.5}$O$_{6.25}$TaW,10.319,$\AA$,90,°,,,cubic,10.319,$\AA$,90,°,10.319,$\AA$,90,°,227
Cl$_{2}$O$_{4}$Pb$_{4}$,3.91,$\AA$,90,°,,,tetragonal,13.,$\AA$,90,°,3.91,$\AA$,90,°,139
NbO$_{9}$RbTi$_{3}$,6.407,$\AA$,90,°,,,orthorhombic,14.918,$\AA$,90,°,3.797,$\AA$,90,°,59
La$_{6}$O$_{18}$Re$_{4}$,6.858(5),$\AA$,92.94(15),$^\circ$,,,triclinic,5.673(4),$\AA$,105.32(20),$^\circ$,11.198(7),$\AA$,111.17(20),$^\circ$,2
CaCu$_{3}$O$_{12}$Ti$_{4}$,7.393(1),$\AA$,90,°,,,cubic,7.393(1),$\AA$,90,°,7.393(1),$\AA$,90,°,229
CuLa$_{0.74}$O$_{4}$Sr$_{1.2}$,18.804,$\AA$,90,°,,,tetragonal,12.941,$\AA$,90,°,18.804,$\AA$,90,°,139
HNbO$_{5}$Ti,6.521(2),$\AA$,90,°,,,orthorhombic,16.656(4),$\AA$,90,°,3.773(1),$\AA$,90,°,62
HNbO$_{5}$Ti,6.534(3),$\AA$,90,°,,,orthorhombic,16.675(9),$\AA$,90,°,3.777(1),$\AA$,90,°,62
DNbO$_{5}$Ti,6.534(4),$\AA$,90,°,,,orthorhombic,16.677(11),$\AA$,90,°,3.776(2),$\AA$,90,°,62
KNb$_{3}$O$_{8}$,8.903(3),$\AA$,90,°,,,orthorhombic,3.799(2),$\AA$,90,°,21.16(2),$\AA$,90,°,63
O$_{32}$P$_{4}$W$_{8}$,5.285(2),$\AA$,90,°,,,orthorhombic,17.351(3),$\AA$,90,°,6.569(1),$\AA$,90,°,19
CdCl$_{6}$H$_{24}$Ni$_{2}$O$_{12}$,9.9509(7),$\AA$,120,°,,,trigonal,11.2393(7),$\AA$,90,°,9.9509(7),$\AA$,90,°,143
O$_{5.5}$TaW,10.4372(6),$\AA$,90,°,,,cubic,10.4372(6),$\AA$,90,°,10.4372(6),$\AA$,90,°,227
HO$_{6}$TaW,10.4438(5),$\AA$,90,°,,,cubic,10.4438(5),$\AA$,90,°,10.4438(5),$\AA$,90,°,227
HO$_{6}$TaW,10.4443(6),$\AA$,90,°,,,cubic,10.4443(6),$\AA$,90,°,10.4443(6),$\AA$,90,°,227
DO$_{6}$TaW,10.4425(6),$\AA$,90,°,,,cubic,10.4425(6),$\AA$,90,°,10.4425(6),$\AA$,90,°,227
D$_{1.8}$H$_{0.2}$O$_{6}$TaW,10.4421(12),$\AA$,90,°,,,cubic,10.4421(12),$\AA$,90,°,10.4421(12),$\AA$,90,°,227
H$_{2}$O$_{6}$Ta$_{2}$,10.6032(6),$\AA$,90,°,,,cubic,10.6032(6),$\AA$,90,°,10.6032(6),$\AA$,90,°,227
D$_{1.4}$H$_{1.6}$O$_{6}$Ta$_{2}$,10.6106(6),$\AA$,90,°,,,cubic,10.6106(6),$\AA$,90,°,10.6106(6),$\AA$,90,°,227
Cu$_{3}$O$_{21}$RbTa$_{7}$,28.11(1),$\AA$,90,°,,,orthorhombic,7.548(5),$\AA$,90,°,7.503(4),$\AA$,90,°,65
FeLiO$_{4}$Sn,3.066(1),$\AA$,90,°,,,orthorhombic,9.874(2),$\AA$,90,°,5.066(1),$\AA$,90,°,62
FeLiO$_{4}$Sn,6.012(1),$\AA$,120,°,,,hexagonal,9.776(2),$\AA$,90,°,6.012(1),$\AA$,90,°,186
BaCuO$_{5}$Y$_{2}$,7.132(2),$\AA$,90,°,,,orthorhombic,5.658(2),$\AA$,90,°,12.181(2),$\AA$,90,°,62
BaCuGd$_{2}$O$_{5}$,7.226(2),$\AA$,90,°,,,orthorhombic,5.724(2),$\AA$,90,°,12.321(2),$\AA$,90,°,62
O$_{6}$Pb$_{1.2}$Ta$_{1.6}$Ti$_{0.4}$,10.54,$\AA$,90,°,,,cubic,10.54,$\AA$,90,°,10.54,$\AA$,90,°,227
Ge$_{2}$N$_{2}$O,9.312(1),$\AA$,90,°,,,orthorhombic,5.105(1),$\AA$,90,°,5.755(1),$\AA$,90,°,36
O$_{50}$P$_{4}$Rb$_{0.87}$W$_{14}$,15.723(4),$\AA$,90,°,,,monoclinic,17.118(4),$\AA$,90,°,3.764(3),$\AA$,113.42(2),$^\circ$,13
F$_{15}$FeNaNp$_{3}$,9.802,$\AA$,120,°,,,trigonal,13.004,$\AA$,90,°,9.802,$\AA$,90,°,165
AlCr$_{2}$Li$_{2}$O$_{8}$Sb,5.796(2),$\AA$,120,°,,,hexagonal,9.466(5),$\AA$,90,°,5.796(2),$\AA$,90,°,186
Al$_{2}$CrLi$_{2}$O$_{8}$Sb,5.703(2),$\AA$,120,°,,,hexagonal,9.392(5),$\AA$,90,°,5.703(2),$\AA$,90,°,186
Cr$_{2}$FeLi$_{2}$O$_{8}$Sb,5.867(2),$\AA$,120,°,,,hexagonal,9.542(5),$\AA$,90,°,5.867(2),$\AA$,90,°,186
Fe$_{3}$Li$_{2}$O$_{8}$Sb,5.923(2),$\AA$,120,°,,,hexagonal,9.641(5),$\AA$,90,°,5.923(2),$\AA$,90,°,186
Cr$_{2}$FeLi$_{2}$O$_{8}$Sb,8.398(4),$\AA$,90,°,,,cubic,8.398(4),$\AA$,90,°,8.398(4),$\AA$,90,°,227
Fe$_{3}$Li$_{2}$O$_{8}$Sb,8.425(4),$\AA$,90,°,,,cubic,8.425(4),$\AA$,90,°,8.425(4),$\AA$,90,°,227
K$_{0.4}$O$_{16}$P$_{2}$W$_{4}$,6.6702(5),$\AA$,90,°,,,monoclinic,8.9091(8),$\AA$,90,°,5.3228(8),$\AA$,100.546(7),$^\circ$,11
O$_{38}$P$_{4}$W$_{10}$,6.5656(25),$\AA$,90,°,,,monoclinic,20.573(15),$\AA$,90,°,5.2850(15),$\AA$,96.18(4),$^\circ$,4
KNb$_{5}$O$_{25}$Ti$_{6}$,6.611(4),$\AA$,90,°,,,orthorhombic,30.154(18),$\AA$,90,°,8.880(8),$\AA$,90,°,63
K$_{4}$Mo$_{8}$O$_{52}$P$_{12}$,10.7433(16),$\AA$,90,°,,,monoclinic,8.8519(7),$\AA$,90,°,14.0839(9),$\AA$,126.42(1),$^\circ$,15
O$_{56}$P$_{4}$Rb$_{0.8}$W$_{16}$,16.194(3),$\AA$,90,°,,,monoclinic,17.095(4),$\AA$,90,°,3.7719(4),$\AA$,93.89(2),$^\circ$,13
N$_{4}$Si$_{3}$,7.7523(2),$\AA$,120,°,,,trigonal,5.6198(2),$\AA$,90,°,7.7523(2),$\AA$,90,°,159
N$_{4}$Si$_{3}$,7.7660(2),$\AA$,120,°,,,trigonal,5.6297(3),$\AA$,90,°,7.7660(2),$\AA$,90,°,159
N$_{4}$Si$_{3}$,7.7696(2),$\AA$,120,°,,,trigonal,5.6318(3),$\AA$,90,°,7.7696(2),$\AA$,90,°,159
N$_{4}$Si$_{3}$,7.7809(3),$\AA$,120,°,,,trigonal,5.6407(4),$\AA$,90,°,7.7809(3),$\AA$,90,°,159
N$_{4}$Si$_{3}$,7.7853(4),$\AA$,120,°,,,trigonal,5.6431(5),$\AA$,90,°,7.7853(4),$\AA$,90,°,159
N$_{4}$Si$_{3}$,7.7910(4),$\AA$,120,°,,,trigonal,5.6492(5),$\AA$,90,°,7.7910(4),$\AA$,90,°,159
N$_{4}$Si$_{3}$,7.6018(4),$\AA$,120,°,,,hexagonal,2.9066(2),$\AA$,90,°,7.6018(4),$\AA$,90,°,176
N$_{4}$Si$_{3}$,7.6140(4),$\AA$,120,°,,,hexagonal,2.9123(2),$\AA$,90,°,7.6140(4),$\AA$,90,°,176
N$_{4}$Si$_{3}$,7.6170(4),$\AA$,120,°,,,hexagonal,2.9134(2),$\AA$,90,°,7.6170(4),$\AA$,90,°,176
N$_{4}$Si$_{3}$,7.6272(6),$\AA$,120,°,,,hexagonal,2.9182(3),$\AA$,90,°,7.6272(6),$\AA$,90,°,176
N$_{4}$Si$_{3}$,7.6322(6),$\AA$,120,°,,,hexagonal,2.9191(4),$\AA$,90,°,7.6322(6),$\AA$,90,°,176
N$_{4}$Si$_{3}$,7.6374(7),$\AA$,120,°,,,hexagonal,2.9220(4),$\AA$,90,°,7.6374(7),$\AA$,90,°,176
BaO$_{5}$Y$_{2}$Zn,7.068(3),$\AA$,90,°,,,orthorhombic,5.706(2),$\AA$,90,°,12.324(4),$\AA$,90,°,62
BaO$_{4}$Sc$_{2}$,9.84,$\AA$,90,°,,,monoclinic,20.65,$\AA$,90,°,5.81,$\AA$,90.(0),$^\circ$,15
